ATOM OT2  OC     -0.67 
RESI METC         0.00
ATOM N    NH1    -0.47
ATOM HN   H       0.31
ATOM CA   CT1     0.07
ATOM HA   HB1     0.09
ATOM CB   CT2    -0.18
ATOM HB1  HA2     0.09
ATOM HB2  HA2     0.09
ATOM CG   CT2    -0.14
ATOM HG1  HA2     0.09
ATOM HG2  HA2     0.09
ATOM SD   S      -0.09
ATOM CE   CT3    -0.22
ATOM HE1  HA3     0.09
ATOM HE2  HA3     0.09
ATOM HE3  HA3     0.09
ATOM C    CC      0.34 
ATOM OT1  OC     -0.67 
ATOM OT2  OC     -0.67 
RESI PHEC         0.00
ATOM N    NH1    -0.47
ATOM HN   H       0.31
ATOM CA   CT1     0.07
ATOM HA   HB1     0.09
ATOM CB   CT2    -0.18
ATOM HB1  HA2     0.09
ATOM HB2  HA2     0.09
ATOM CG   CA      0.00
ATOM CD1  CA     -0.115
ATOM HD1  HP      0.115
ATOM CE1  CA     -0.115
ATOM HE1  HP      0.115
ATOM CZ   CA     -0.115
ATOM HZ   HP      0.115
ATOM CD2  CA     -0.115
ATOM HD2  HP      0.115
ATOM CE2  CA     -0.115
ATOM HE2  HP      0.115
ATOM C    CC      0.34 
ATOM OT1  OC     -0.67 
ATOM OT2  OC     -0.67 
RESI PROC         0.00
ATOM N    N      -0.29
ATOM CD   CP3     0.00
ATOM HD1  HA2     0.09
ATOM HD2  HA2     0.09
ATOM CA   CP1     0.02
ATOM HA   HB1     0.09
ATOM CB   CP2    -0.18
ATOM HB1  HA2     0.09
ATOM HB2  HA2     0.09
ATOM CG   CP2    -0.18
ATOM HG1  HA2     0.09
ATOM HG2  HA2     0.09
ATOM C    CC      0.34 
ATOM OT1  OC     -0.67 
ATOM OT2  OC     -0.67 
RESI SERC         0.00
ATOM N    NH1    -0.47
ATOM HN   H       0.31
ATOM CA   CT1     0.07
ATOM HA   HB1     0.09
ATOM CB   CT2     0.05
ATOM HB1  HA2     0.09
ATOM HB2  HA2     0.09
ATOM OG   OH1    -0.66
ATOM HG1  H       0.43
ATOM C    CC      0.34 
ATOM OT1  OC     -0.67 
ATOM OT2  OC     -0.67 
RESI THRC         0.00
ATOM N    NH1    -0.47
ATOM HN   H       0.31
ATOM CA   CT1     0.07
ATOM HA   HB1     0.09
ATOM CB   CT1     0.14
ATOM HB   HA1     0.09
ATOM OG1  OH1    -0.66
ATOM HG1  H       0.43
ATOM CG2  CT3    -0.27
ATOM HG21 HA3     0.09
ATOM HG22 HA3     0.09
ATOM HG23 HA3     0.09
ATOM C    CC      0.34 
ATOM OT1  OC     -0.67 
ATOM OT2  OC     -0.67 
RESI TRPC         0.00
ATOM N    NH1    -0.47
ATOM HN   H       0.31
ATOM CA   CT1     0.07
ATOM HA   HB1     0.09
ATOM CB   CT2    -0.18
ATOM HB1  HA2     0.09
ATOM HB2  HA2     0.09
ATOM CG   CY     -0.03
ATOM CD1  CA     -0.15
ATOM HD1  HP      0.22
ATOM NE1  NY     -0.51
ATOM HE1  H       0.37
ATOM CE2  CPT     0.24
ATOM CD2  CPT     0.11
ATOM CE3  CAI    -0.25
ATOM HE3  HP      0.17
ATOM CZ3  CA     -0.20
ATOM HZ3  HP      0.14
ATOM CZ2  CAI    -0.27
ATOM HZ2  HP      0.16
ATOM CH2  CA     -0.14
ATOM HH2  HP      0.14
ATOM C    CC      0.34 
ATOM OT1  OC     -0.67 
ATOM OT2  OC     -0.67 
RESI TYRC         0.00
ATOM N    NH1    -0.47
ATOM HN   H       0.31
ATOM CA   CT1     0.07
ATOM HA   HB1     0.09
ATOM CB   CT2    -0.18
ATOM HB1  HA2     0.09
ATOM HB2  HA2     0.09
ATOM CG   CA      0.00
ATOM CD1  CA     -0.115
ATOM HD1  HP      0.115
ATOM CE1  CA     -0.115
ATOM HE1  HP      0.115
ATOM CZ   CA      0.11
ATOM OH   OH1    -0.54
ATOM HH   H       0.43
ATOM CD2  CA     -0.115
ATOM HD2  HP      0.115
ATOM CE2  CA     -0.115
ATOM HE2  HP      0.115
ATOM C    CC      0.34 
ATOM OT1  OC     -0.67 
ATOM OT2  OC     -0.67 
RESI VALC         0.00
ATOM N    NH1    -0.47
ATOM HN   H       0.31
ATOM CA   CT1     0.07
ATOM HA   HB1     0.09
ATOM CB   CT1    -0.09
ATOM HB   HA1     0.09
ATOM CG1  CT3    -0.27
ATOM HG11 HA3     0.09
ATOM HG12 HA3     0.09
ATOM HG13 HA3     0.09
ATOM CG2  CT3    -0.27
ATOM HG21 HA3     0.09
ATOM HG22 HA3     0.09
ATOM HG23 HA3     0.09
ATOM C    CC      0.34 
ATOM OT1  OC     -0.67 
ATOM OT2  OC     -0.67 
